# Completeness from HSC GOLDRUSH I (https://arxiv.org/abs/1704.06004)
# Provided by Yoshiaki Ono
# Columns are apparent UV magnitude
# Rows are redshift
# Entries are completeness C(m, z)
     23.25  23.75  24.25  24.75  25.25  25.75
3.7  0.000  0.000  0.000  0.000  0.000  0.000
3.8  0.000  0.000  0.000  0.000  0.000  0.000
3.9  0.000  0.000  0.000  0.000  0.000  0.000
4.0  0.000  0.000  0.000  0.000  0.000  0.000
4.1  0.000  0.000  0.000  0.000  0.000  0.000
4.2  0.000  0.000  0.000  0.000  0.000  0.000
4.3  0.000  0.000  0.000  0.000  0.000  0.013
4.4  0.045  0.110  0.146  0.043  0.040  0.013
4.5  0.436  0.495  0.492  0.408  0.318  0.161
4.6  0.642  0.555  0.528  0.520  0.440  0.166
4.7  0.580  0.537  0.491  0.542  0.516  0.346
4.8  0.544  0.500  0.488  0.503  0.538  0.267
4.9  0.635  0.557  0.534  0.526  0.439  0.257
5.0  0.515  0.508  0.516  0.481  0.395  0.188
5.1  0.548  0.546  0.523  0.508  0.418  0.170
5.2  0.129  0.129  0.211  0.321  0.272  0.187
5.3  0.000  0.006  0.030  0.069  0.123  0.078
5.4  0.007  0.000  0.000  0.006  0.014  0.000
5.5  0.000  0.000  0.000  0.000  0.000  0.000
5.6  0.000  0.000  0.000  0.000  0.000  0.000
5.7  0.000  0.000  0.000  0.000  0.000  0.000
